Protocol,HandshakeTime,Latency,Throughput,CPUUsage,MemoryUsage
Noise Protocol,0,0,0,0,0
TLS 1.3,0.0029168128967285156,0.050263404846191406,27675.675675675677,-0.1,0.25
TLS 1.2,0.0014216899871826172,0.05397796630859375,27946.190492054502,-0.1,0.03125
Unencrypted,0.0006000995635986328,0.05955696105957031,32603.201007407868,-0.1,0.0
